"Date","Amount","Category","Vendor","Customer"
"2026-01-12","33937","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-02-02","30762","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-02-22","36867","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-01-04","36103","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-03-02","48969","Rent","Azure Utilities","Retail Giant A"
"2026-03-29","37730","Inventory","Prime Consulting","Public Sector Dept"
"2026-03-02","48838","Inventory","TechLogistics Corp","Retail Giant A"
"2026-01-01","44668","Tax Provision","Azure Utilities","Retail Giant A"
"2026-02-04","2071","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-14","9383","Inventory","Prime Consulting","Retail Giant A"
"2026-01-20","46152","Inventory","Global Office Ltd","Retail Giant A"
"2026-03-18","10005","Rent","Prime Consulting","Retail Giant A"
"2026-01-14","27735","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-01-04","16150","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-03-06","5693","Rent","Prime Consulting","Public Sector Dept"
"2026-03-19","31935","Rent","Azure Utilities","SmallBiz Inc"
"2026-01-05","3692","Inventory","Global Office Ltd","Retail Giant A"
"2026-01-22","20525","Tax Provision","Prime Consulting","Direct Consumer"
"2026-01-30","35178","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-01-07","29677","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-01-28","14340","Inventory","Prime Consulting","Public Sector Dept"
"2026-03-27","7307","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-02-03","7397","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-01-25","44356","Professional Fees","Azure Utilities","Retail Giant A"
"2026-02-09","30937","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-01-01","11992","Inventory","Prime Consulting","Retail Giant A"
"2026-01-17","19127","Rent","Prime Consulting","Public Sector Dept"
"2026-03-11","40152","Inventory","Azure Utilities","Direct Consumer"
"2026-02-13","8323","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-02-10","33286","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-03-10","12873","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-03-06","46601","Professional Fees","Azure Utilities","Direct Consumer"
"2026-01-31","18536","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-02-27","28474","Rent","Azure Utilities","Retail Giant A"
"2026-02-06","26076","Inventory","Global Office Ltd","Retail Giant A"
"2026-01-10","12129","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-27","3500","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-03-12","35149","Professional Fees","Prime Consulting","Retail Giant A"
"2026-02-14","11296","Inventory","TechLogistics Corp","Retail Giant A"
"2026-02-06","2214","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-03-17","17165","Inventory","Prime Consulting","Public Sector Dept"
"2026-02-04","32375","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-03-09","17152","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-01-15","4187","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-01-26","23497","Professional Fees","Azure Utilities","Direct Consumer"
"2026-03-11","43291","Professional Fees","Prime Consulting","Direct Consumer"
"2026-02-06","20139","Inventory","TechLogistics Corp","Retail Giant A"
"2026-03-12","2577","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-01-08","4787","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-03-10","13575","Inventory","Prime Consulting","Retail Giant A"
"2026-02-19","25048","Rent","Global Office Ltd","Retail Giant A"
"2026-03-24","15889","Inventory","Prime Consulting","Public Sector Dept"
"2026-02-02","1932","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-03-31","35150","Tax Provision","Azure Utilities","Retail Giant A"
"2026-02-06","8416","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-03-20","12970","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-03-15","1559","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-01-05","34357","Inventory","Azure Utilities","Direct Consumer"
"2026-02-01","9970","Tax Provision","Prime Consulting","Direct Consumer"
"2026-03-20","37482","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-03-15","36609","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-01-12","6314","Rent","Prime Consulting","SmallBiz Inc"
"2026-03-27","29182","Inventory","Prime Consulting","Public Sector Dept"
"2026-03-10","49060","Professional Fees","Azure Utilities","Direct Consumer"
"2026-01-05","11674","Rent","TechLogistics Corp","Public Sector Dept"
"2026-01-09","8371","Rent","Prime Consulting","Retail Giant A"
"2026-02-13","27017","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-03-12","45264","Inventory","Global Office Ltd","Public Sector Dept"
"2026-02-03","22978","Rent","Azure Utilities","Retail Giant A"
"2026-03-30","30747","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-01-20","16245","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-03-18","26223","Rent","Global Office Ltd","Public Sector Dept"
"2026-02-14","8880","Rent","Prime Consulting","SmallBiz Inc"
"2026-01-03","24656","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-03-26","19428","Rent","Global Office Ltd","Direct Consumer"
"2026-01-16","41705","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-02-13","25342","Rent","TechLogistics Corp","Retail Giant A"
"2026-03-23","38594","Rent","Prime Consulting","SmallBiz Inc"
"2026-03-20","11765","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-01-31","34585","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-03-30","43684","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-03-07","38882","Rent","Prime Consulting","Retail Giant A"
"2026-01-22","27488","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-03-21","20981","Professional Fees","TechLogistics Corp","Direct Consumer"
"2026-01-08","24123","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-03-26","19645","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-03-19","20830","Inventory","Azure Utilities","SmallBiz Inc"
"2026-01-04","39268","Rent","Global Office Ltd","SmallBiz Inc"
"2026-02-12","5091","Inventory","Prime Consulting","Direct Consumer"
"2026-01-05","22044","Sales Revenue","Azure Utilities","SmallBiz Inc"
"2026-03-09","29039","Inventory","Prime Consulting","Direct Consumer"
"2026-02-24","42922","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-26","15954","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-03-02","16960","Rent","Global Office Ltd","Direct Consumer"
"2026-02-11","20122","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-03-26","14878","Rent","Azure Utilities","Direct Consumer"
"2026-02-12","8171","Rent","TechLogistics Corp","Retail Giant A"
"2026-01-19","26710","Rent","Azure Utilities","Direct Consumer"
"2026-02-07","30108","Sales Revenue","TechLogistics Corp","Public Sector Dept"
"2026-03-25","1551","Inventory","Global Office Ltd","Direct Consumer"
"2026-03-11","14552","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-01-01","7260","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-01-27","12541","Inventory","Prime Consulting","Public Sector Dept"
"2026-01-23","1961","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-03","24435","Sales Revenue","Azure Utilities","SmallBiz Inc"
"2026-02-20","13642","Sales Revenue","TechLogistics Corp","SmallBiz Inc"
"2026-01-27","8720","Inventory","Prime Consulting","Retail Giant A"
"2026-01-27","26295","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-03-17","9335","Inventory","TechLogistics Corp","Retail Giant A"
"2026-01-27","24103","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-03-08","33586","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-02-23","42231","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-02-15","42947","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-03-22","42762","Inventory","TechLogistics Corp","Direct Consumer"
"2026-02-04","29724","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-02-24","4950","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-03-08","3884","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-01-25","18536","Rent","Prime Consulting","Public Sector Dept"
"2026-02-09","27591","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-01-23","5613","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-02-13","31629","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-03-04","24738","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-01-20","23597","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-02-27","20388","Tax Provision","Global Office Ltd","SmallBiz Inc"
"2026-02-13","1335","Sales Revenue","Global Office Ltd","Public Sector Dept"
"2026-01-28","16229","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-15","16831","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-02-17","37749","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-01-10","6614","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-02-09","33982","Tax Provision","Prime Consulting","Direct Consumer"
"2026-03-18","43307","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-03-29","17348","Rent","Global Office Ltd","Public Sector Dept"
"2026-02-15","13933","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-03-11","33085","Tax Provision","Prime Consulting","Retail Giant A"
"2026-02-09","2066","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-01-19","6580","Sales Revenue","TechLogistics Corp","SmallBiz Inc"
"2026-02-18","34220","Tax Provision","TechLogistics Corp","Public Sector Dept"
"2026-03-15","39502","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-03-10","38257","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-01-21","44024","Rent","Global Office Ltd","Public Sector Dept"
"2026-03-13","44857","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-01-07","35675","Professional Fees","Prime Consulting","Retail Giant A"
"2026-03-08","2626","Rent","Azure Utilities","Public Sector Dept"
"2026-02-03","6505","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-02-11","1076","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-01-05","26531","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-01-20","30709","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-03-10","24032","Professional Fees","Azure Utilities","Direct Consumer"
"2026-02-13","39644","Inventory","Global Office Ltd","Direct Consumer"
"2026-01-18","32976","Tax Provision","TechLogistics Corp","SmallBiz Inc"
"2026-03-23","44785","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-01-17","44689","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-02-25","43660","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-03","31841","Rent","TechLogistics Corp","Retail Giant A"
"2026-02-17","30184","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-02-05","30821","Rent","Global Office Ltd","Public Sector Dept"
"2026-03-26","10299","Professional Fees","Prime Consulting","SmallBiz Inc"
"2026-03-03","40596","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-01-23","6205","Rent","Prime Consulting","Retail Giant A"
"2026-03-07","7676","Tax Provision","Global Office Ltd","Public Sector Dept"
"2026-02-26","46220","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-02-04","8229","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-02-02","25490","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-03-11","35943","Rent","Azure Utilities","Public Sector Dept"
"2026-02-12","2169","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-01-21","31121","Tax Provision","Prime Consulting","SmallBiz Inc"
"2026-01-07","29057","Inventory","Prime Consulting","Direct Consumer"
"2026-01-05","24723","Professional Fees","TechLogistics Corp","Direct Consumer"
"2026-01-03","22870","Inventory","TechLogistics Corp","Direct Consumer"
"2026-01-05","12882","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-01-30","23868","Rent","TechLogistics Corp","Public Sector Dept"
"2026-02-19","27285","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-03-10","8393","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-01-01","11168","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-02-20","20034","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-03-02","23202","Rent","TechLogistics Corp","Public Sector Dept"
"2026-03-26","30981","Professional Fees","Prime Consulting","Public Sector Dept"
"2026-02-07","45631","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-12","45736","Tax Provision","Prime Consulting","SmallBiz Inc"
"2026-01-17","47941","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-01-22","36918","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-03-27","9775","Inventory","Prime Consulting","Public Sector Dept"
"2026-03-30","37265","Inventory","Global Office Ltd","Retail Giant A"
"2026-02-27","38415","Inventory","Prime Consulting","Direct Consumer"
"2026-02-18","25205","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-01-04","10087","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-03-26","9603","Rent","Azure Utilities","Retail Giant A"
"2026-02-22","24283","Rent","Azure Utilities","Public Sector Dept"
"2026-03-28","15735","Professional Fees","Prime Consulting","SmallBiz Inc"
"2026-03-08","40500","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-02-20","47176","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-01-16","16552","Rent","TechLogistics Corp","Direct Consumer"
"2026-03-12","21828","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-01-27","33636","Inventory","Azure Utilities","SmallBiz Inc"
"2026-02-05","41168","Professional Fees","Global Office Ltd","Retail Giant A"
"2026-03-16","5795","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-02-16","34933","Tax Provision","Prime Consulting","SmallBiz Inc"
"2026-02-03","19588","Sales Revenue","TechLogistics Corp","Public Sector Dept"
"2026-01-11","25148","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-02-19","14726","Sales Revenue","Azure Utilities","SmallBiz Inc"
"2026-01-25","17748","Sales Revenue","Prime Consulting","Direct Consumer"
"2026-01-03","11917","Professional Fees","Azure Utilities","Retail Giant A"
"2026-03-14","43140","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-03-20","36725","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-02-03","3124","Rent","Azure Utilities","Retail Giant A"
"2026-02-01","11704","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-21","31659","Sales Revenue","Azure Utilities","Public Sector Dept"
"2026-01-04","28813","Tax Provision","TechLogistics Corp","Retail Giant A"
"2026-03-09","6283","Rent","TechLogistics Corp","Direct Consumer"
"2026-02-07","23958","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-01-10","2192","Inventory","Azure Utilities","SmallBiz Inc"
"2026-03-28","31241","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-01-11","14161","Rent","Azure Utilities","SmallBiz Inc"
"2026-03-15","16677","Rent","TechLogistics Corp","Direct Consumer"
"2026-01-07","25101","Professional Fees","Azure Utilities","Retail Giant A"
"2026-01-12","43517","Rent","Prime Consulting","Public Sector Dept"
"2026-03-20","26643","Inventory","Azure Utilities","SmallBiz Inc"
"2026-02-04","27422","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-03-07","47413","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-01-30","45760","Inventory","Global Office Ltd","Public Sector Dept"
"2026-03-23","43420","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-03-21","21944","Rent","Azure Utilities","Public Sector Dept"
"2026-01-17","40188","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-01-19","49600","Sales Revenue","Prime Consulting","SmallBiz Inc"
"2026-02-16","25798","Sales Revenue","Azure Utilities","SmallBiz Inc"
"2026-01-25","18623","Rent","Prime Consulting","SmallBiz Inc"
"2026-03-16","14611","Tax Provision","Azure Utilities","Retail Giant A"
"2026-03-31","45675","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-29","16566","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-03-11","3613","Professional Fees","Prime Consulting","Direct Consumer"
"2026-02-16","49893","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-01-09","13431","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-01-20","31105","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-01-04","13054","Inventory","Prime Consulting","Direct Consumer"
"2026-02-20","32836","Rent","Prime Consulting","SmallBiz Inc"
"2026-02-18","25559","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-15","47337","Rent","TechLogistics Corp","Public Sector Dept"
"2026-02-21","43584","Rent","Global Office Ltd","Public Sector Dept"
"2026-01-18","10824","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-31","1179","Inventory","Prime Consulting","SmallBiz Inc"
"2026-01-24","41397","Inventory","Azure Utilities","SmallBiz Inc"
"2026-01-08","15412","Rent","Azure Utilities","Retail Giant A"
"2026-03-05","39542","Tax Provision","Azure Utilities","Retail Giant A"
"2026-02-19","25231","Tax Provision","TechLogistics Corp","Public Sector Dept"
"2026-02-08","5384","Tax Provision","Azure Utilities","Public Sector Dept"
"2026-01-04","4781","Professional Fees","Azure Utilities","Direct Consumer"
"2026-01-06","17107","Inventory","Azure Utilities","Retail Giant A"
"2026-02-11","26265","Tax Provision","Global Office Ltd","Retail Giant A"
"2026-01-12","30410","Tax Provision","Global Office Ltd","Public Sector Dept"
"2026-03-31","48404","Rent","Global Office Ltd","Direct Consumer"
"2026-03-31","15915","Tax Provision","Azure Utilities","Retail Giant A"
"2026-03-11","48340","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-02-25","5812","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-02-03","38564","Sales Revenue","Global Office Ltd","Direct Consumer"
"2026-01-30","28896","Rent","Global Office Ltd","Direct Consumer"
"2026-03-24","6314","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-03-26","21787","Rent","Global Office Ltd","Direct Consumer"
"2026-01-24","9100","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-01-14","42127","Professional Fees","Global Office Ltd","Public Sector Dept"
"2026-03-22","15251","Rent","Azure Utilities","Direct Consumer"
"2026-02-14","38220","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-01-19","15943","Tax Provision","Azure Utilities","Direct Consumer"
"2026-03-17","21413","Inventory","TechLogistics Corp","Retail Giant A"
"2026-01-31","42884","Inventory","Azure Utilities","SmallBiz Inc"
"2026-01-03","20574","Inventory","TechLogistics Corp","Direct Consumer"
"2026-02-02","2486","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-02-19","5762","Rent","TechLogistics Corp","Retail Giant A"
"2026-03-14","29988","Rent","Azure Utilities","Public Sector Dept"
"2026-02-21","32093","Tax Provision","Azure Utilities","Retail Giant A"
"2026-02-23","27152","Tax Provision","Azure Utilities","Retail Giant A"
"2026-01-14","2932","Tax Provision","Global Office Ltd","Direct Consumer"
"2026-02-08","49321","Rent","TechLogistics Corp","Public Sector Dept"
"2026-01-07","48746","Rent","Prime Consulting","Public Sector Dept"
"2026-03-25","4377","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-04","41988","Sales Revenue","TechLogistics Corp","Direct Consumer"
"2026-03-26","15708","Professional Fees","Prime Consulting","Retail Giant A"
"2026-02-19","10147","Professional Fees","Azure Utilities","Direct Consumer"
"2026-02-13","39206","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-03-01","45595","Inventory","Global Office Ltd","SmallBiz Inc"
"2026-02-09","4450","Tax Provision","TechLogistics Corp","Public Sector Dept"
"2026-02-03","29859","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-02-05","16124","Sales Revenue","Prime Consulting","Public Sector Dept"
"2026-03-18","41329","Professional Fees","Azure Utilities","Direct Consumer"
"2026-03-28","5826","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-03-25","6529","Rent","Azure Utilities","SmallBiz Inc"
"2026-02-05","20377","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-01-03","23261","Tax Provision","Global Office Ltd","Public Sector Dept"
"2026-01-09","45993","Inventory","Azure Utilities","Direct Consumer"
"2026-02-20","12153","Inventory","Azure Utilities","Retail Giant A"
"2026-02-14","11312","Sales Revenue","Prime Consulting","Retail Giant A"
"2026-02-24","7062","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-02-21","44296","Inventory","Global Office Ltd","Public Sector Dept"
"2026-01-20","7406","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-01-11","1192","Tax Provision","Azure Utilities","Retail Giant A"
"2026-02-21","39496","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-01-04","18737","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-02-02","40410","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-02-20","39856","Rent","TechLogistics Corp","SmallBiz Inc"
"2026-02-04","33047","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-02-18","9038","Sales Revenue","Azure Utilities","SmallBiz Inc"
"2026-03-31","46143","Rent","Azure Utilities","Public Sector Dept"
"2026-02-24","8188","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-02-06","19310","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-02-11","14732","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-15","14917","Inventory","Global Office Ltd","Public Sector Dept"
"2026-01-31","10511","Inventory","Prime Consulting","SmallBiz Inc"
"2026-03-09","44457","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-02","12839","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-01-07","5792","Inventory","Azure Utilities","Direct Consumer"
"2026-03-18","6405","Inventory","Global Office Ltd","Direct Consumer"
"2026-03-04","29631","Rent","Global Office Ltd","Retail Giant A"
"2026-03-23","47419","Sales Revenue","Global Office Ltd","Public Sector Dept"
"2026-02-09","36168","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-03-17","18380","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-01-11","45842","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-03-06","20385","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-03-06","2276","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-22","16327","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-02-18","6578","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-03-17","16169","Inventory","Global Office Ltd","Public Sector Dept"
"2026-01-19","25167","Rent","Prime Consulting","Direct Consumer"
"2026-01-15","17328","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-01-21","9799","Sales Revenue","Azure Utilities","Retail Giant A"
"2026-01-19","46906","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-02-17","24020","Tax Provision","Prime Consulting","Direct Consumer"
"2026-02-06","2291","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-02-23","31806","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-03-19","27220","Sales Revenue","TechLogistics Corp","SmallBiz Inc"
"2026-02-28","33034","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-03-07","27155","Rent","Global Office Ltd","Public Sector Dept"
