Date,Amount,Category,Vendor,Customer
2026-03-16,8322.03,Inventory,Global Office Ltd,Direct Consumer
2026-03-17,8553.85,Inventory,Global Office Ltd,SmallBiz Inc
2026-03-24,10770.19,Rent,Prime Consulting,Direct Consumer
2026-03-17,5496.37,Sales Revenue,Global Office Ltd,Public Sector Dept
2026-02-10,6733.82,Inventory,Global Office Ltd,Public Sector Dept
2026-01-21,9846.55,Rent,TechLogistics Corp,Retail Giant A
2026-02-19,8015.17,Inventory,Prime Consulting,Direct Consumer
2026-02-18,9381.49,Professional Fees,Azure Utilities,Direct Consumer
2026-01-29,10985.67,Tax Provision,Global Office Ltd,SmallBiz Inc
2026-03-12,11949.99,Sales Revenue,Global Office Ltd,SmallBiz Inc
2026-02-14,8940.33,Tax Provision,Azure Utilities,Public Sector Dept
2026-01-07,8316.13,Tax Provision,Prime Consulting,Direct Consumer
2026-02-22,6859.66,Rent,Azure Utilities,Direct Consumer
2026-02-10,9075.98,Rent,Azure Utilities,Retail Giant A
2026-03-20,7926.31,Inventory,Azure Utilities,Direct Consumer
2026-01-01,5263.84,Sales Revenue,Global Office Ltd,Direct Consumer
2026-01-24,8473.95,Tax Provision,Global Office Ltd,SmallBiz Inc
2026-02-12,8213.36,Tax Provision,TechLogistics Corp,Retail Giant A
2026-01-03,8433.21,Rent,Azure Utilities,Retail Giant A
2026-01-03,8909.44,Tax Provision,Global Office Ltd,Direct Consumer
2026-01-07,8292.5,Inventory,Azure Utilities,Retail Giant A
2026-03-02,6905.07,Rent,Global Office Ltd,Public Sector Dept
2026-03-04,9049.91,Rent,Prime Consulting,Public Sector Dept
2026-03-01,7202.12,Rent,TechLogistics Corp,Direct Consumer
2026-01-05,7845.74,Inventory,Global Office Ltd,Retail Giant A
2026-02-06,4372.35,Inventory,Azure Utilities,Direct Consumer
2026-01-31,7968.04,Professional Fees,Prime Consulting,Retail Giant A
2026-02-14,5535.21,Inventory,Global Office Ltd,Direct Consumer
2026-03-12,10754.94,Tax Provision,Azure Utilities,Public Sector Dept
2026-03-02,7065.11,Sales Revenue,Azure Utilities,Public Sector Dept
2026-01-06,6420.1,Tax Provision,Azure Utilities,SmallBiz Inc
2026-02-23,8945.06,Tax Provision,Global Office Ltd,Public Sector Dept
2026-03-02,8330.57,Tax Provision,Global Office Ltd,SmallBiz Inc
2026-03-07,6469.82,Rent,TechLogistics Corp,SmallBiz Inc
2026-01-18,11158.41,Tax Provision,Prime Consulting,Direct Consumer
2026-03-05,9801.54,Inventory,Global Office Ltd,Public Sector Dept
2026-03-01,8854.33,Inventory,TechLogistics Corp,Direct Consumer
2026-01-15,7778.48,Inventory,TechLogistics Corp,Public Sector Dept
2026-01-30,8755.74,Tax Provision,TechLogistics Corp,Retail Giant A
2026-01-28,8494.39,Inventory,Azure Utilities,Public Sector Dept
2026-01-19,3921.77,Rent,Azure Utilities,Retail Giant A
2026-02-23,6655.09,Sales Revenue,Global Office Ltd,Public Sector Dept
2026-02-11,9088.66,Rent,TechLogistics Corp,Retail Giant A
2026-02-04,5951.31,Professional Fees,Azure Utilities,Public Sector Dept
2026-03-24,7929.46,Inventory,Azure Utilities,Public Sector Dept
2026-01-05,5022.87,Rent,Global Office Ltd,Retail Giant A
2026-02-14,10235.99,Tax Provision,TechLogistics Corp,Public Sector Dept
2026-02-23,6588.65,Sales Revenue,TechLogistics Corp,Retail Giant A
2026-02-12,8977.24,Professional Fees,Prime Consulting,Public Sector Dept
2026-01-20,10224.59,Rent,Global Office Ltd,SmallBiz Inc
2026-01-19,9175.01,Tax Provision,Azure Utilities,Public Sector Dept
2026-03-07,7308.86,Sales Revenue,Azure Utilities,Direct Consumer
2026-01-08,7895.21,Inventory,TechLogistics Corp,Public Sector Dept
2026-03-22,4754.48,Professional Fees,TechLogistics Corp,SmallBiz Inc
2026-03-14,9019.04,Inventory,TechLogistics Corp,SmallBiz Inc
2026-01-29,8994.52,Professional Fees,Prime Consulting,Retail Giant A
2026-02-11,10278.05,Tax Provision,Global Office Ltd,Direct Consumer
2026-03-17,8849.92,Inventory,Prime Consulting,SmallBiz Inc
2026-01-17,7032.01,Tax Provision,Global Office Ltd,Direct Consumer
2026-02-06,8343.73,Sales Revenue,Prime Consulting,Public Sector Dept
2026-01-28,8073.2,Rent,Prime Consulting,Retail Giant A
2026-01-15,8903.98,Tax Provision,Global Office Ltd,SmallBiz Inc
2026-01-04,9628.06,Rent,Prime Consulting,SmallBiz Inc
2026-02-25,11993.1,Professional Fees,Azure Utilities,Retail Giant A
2026-01-26,6183.14,Tax Provision,Azure Utilities,Public Sector Dept
2026-01-29,9578.15,Tax Provision,TechLogistics Corp,Public Sector Dept
2026-03-30,8734.33,Sales Revenue,TechLogistics Corp,Direct Consumer
2026-02-25,6072.19,Tax Provision,Global Office Ltd,Public Sector Dept
2026-03-14,11364.73,Rent,Prime Consulting,Retail Giant A
2026-01-17,8716.72,Rent,TechLogistics Corp,Public Sector Dept
2026-03-09,6186.75,Tax Provision,Azure Utilities,Public Sector Dept
2026-01-22,11377.19,Rent,Azure Utilities,SmallBiz Inc
2026-02-26,7272.77,Tax Provision,TechLogistics Corp,SmallBiz Inc
2026-03-02,7752.61,Professional Fees,Prime Consulting,SmallBiz Inc
2026-01-27,5557.33,Professional Fees,Prime Consulting,Public Sector Dept
2026-02-27,11274.44,Sales Revenue,Azure Utilities,Retail Giant A
2026-03-18,6130.79,Professional Fees,TechLogistics Corp,Public Sector Dept
2026-03-20,3993.04,Sales Revenue,TechLogistics Corp,SmallBiz Inc
2026-03-10,6013.07,Sales Revenue,Azure Utilities,Public Sector Dept
2026-02-15,5834.15,Rent,TechLogistics Corp,SmallBiz Inc
2026-02-26,7657.73,Professional Fees,Global Office Ltd,Direct Consumer
2026-03-02,4880.57,Rent,Prime Consulting,Direct Consumer
2026-02-13,9355.0,Sales Revenue,TechLogistics Corp,Retail Giant A
2026-01-30,8387.07,Professional Fees,Prime Consulting,SmallBiz Inc
2026-03-29,8843.38,Tax Provision,TechLogistics Corp,TechLogistics Corp
2026-03-13,8903.29,Sales Revenue,Prime Consulting,SmallBiz Inc
2026-02-16,8083.37,Professional Fees,Global Office Ltd,Direct Consumer
2026-02-15,-9386.33,Tax Provision,TechLogistics Corp,SmallBiz Inc
2026-02-18,8303.42,Tax Provision,Prime Consulting,SmallBiz Inc
2026-02-19,12518.14,Sales Revenue,Azure Utilities,SmallBiz Inc
2026-01-17,2226.43,Tax Provision,Azure Utilities,Direct Consumer
2026-01-14,6797.85,Rent,Azure Utilities,Public Sector Dept
2026-02-08,8497.47,Sales Revenue,Azure Utilities,Direct Consumer
2026-01-10,8036.05,Rent,Prime Consulting,Retail Giant A
2026-01-27,6050.63,Rent,TechLogistics Corp,Retail Giant A
2026-02-18,6197.09,Inventory,Azure Utilities,SmallBiz Inc
2026-03-08,10139.68,Sales Revenue,Global Office Ltd,SmallBiz Inc
2026-03-06,7607.78,Professional Fees,Azure Utilities,Public Sector Dept
2026-01-17,2443.61,Rent,Global Office Ltd,Retail Giant A
2026-01-31,5430.42,Rent,Azure Utilities,SmallBiz Inc
2026-01-23,8217.84,Tax Provision,TechLogistics Corp,Public Sector Dept
2026-02-18,6965.44,Rent,Global Office Ltd,Direct Consumer
2026-01-28,7857.77,Sales Revenue,Prime Consulting,Prime Consulting
2026-01-02,6904.26,Inventory,TechLogistics Corp,Retail Giant A
2026-02-18,9465.49,Professional Fees,TechLogistics Corp,Direct Consumer
2026-03-24,8599.9,Inventory,Global Office Ltd,Retail Giant A
2026-02-23,10559.95,Tax Provision,Prime Consulting,Public Sector Dept
2026-01-27,8535.19,Rent,Prime Consulting,Retail Giant A
2026-03-14,4885.31,Rent,Azure Utilities,Public Sector Dept
2026-01-30,6489.95,Professional Fees,Global Office Ltd,Direct Consumer
2026-03-11,9782.32,Inventory,Global Office Ltd,Direct Consumer
2026-03-11,6412.06,Rent,Prime Consulting,Retail Giant A
2026-02-10,9233.81,Professional Fees,Azure Utilities,SmallBiz Inc
2026-01-06,4849.12,Rent,Global Office Ltd,Retail Giant A
2026-01-10,7267.13,Professional Fees,Azure Utilities,SmallBiz Inc
2026-01-04,12544.88,Professional Fees,TechLogistics Corp,SmallBiz Inc
2026-01-23,4625.87,Sales Revenue,Global Office Ltd,Retail Giant A
2026-03-04,4675.14,Professional Fees,TechLogistics Corp,Public Sector Dept
2026-01-02,6454.54,Inventory,Azure Utilities,Direct Consumer
2026-02-21,5062.74,Inventory,Global Office Ltd,Direct Consumer
2026-02-05,6083.36,Sales Revenue,Global Office Ltd,SmallBiz Inc
2026-02-25,7440.4,Tax Provision,Azure Utilities,Direct Consumer
2026-02-25,7456.98,Inventory,Prime Consulting,Public Sector Dept
2026-03-15,3675.64,Sales Revenue,Global Office Ltd,Public Sector Dept
2026-01-17,9008.38,Inventory,Global Office Ltd,SmallBiz Inc
2026-02-02,8146.56,Sales Revenue,TechLogistics Corp,Retail Giant A
2026-03-28,7352.04,Rent,Azure Utilities,Retail Giant A
2026-02-19,8196.19,Professional Fees,Azure Utilities,SmallBiz Inc
2026-03-07,8348.99,Inventory,Global Office Ltd,Public Sector Dept
2026-01-26,8463.84,Professional Fees,Global Office Ltd,Retail Giant A
2026-01-16,9545.29,Tax Provision,Azure Utilities,Direct Consumer
2026-03-06,7076.27,Professional Fees,Azure Utilities,SmallBiz Inc
2026-03-16,5841.97,Inventory,TechLogistics Corp,SmallBiz Inc
2026-01-07,7427.55,Tax Provision,Global Office Ltd,Retail Giant A
2026-03-19,4542.54,Inventory,Global Office Ltd,Direct Consumer
2026-01-23,7581.98,Professional Fees,Global Office Ltd,Retail Giant A
2026-03-17,9968.36,Rent,Global Office Ltd,Direct Consumer
2026-01-04,10352.5,Tax Provision,Global Office Ltd,Public Sector Dept
2026-01-25,9529.6,Professional Fees,Global Office Ltd,Direct Consumer
2026-02-24,8857.67,Inventory,TechLogistics Corp,SmallBiz Inc
2026-01-23,5994.12,Inventory,Prime Consulting,SmallBiz Inc
2026-01-21,6472.35,Rent,TechLogistics Corp,Public Sector Dept
2026-02-03,5415.59,Sales Revenue,Global Office Ltd,Retail Giant A
2026-02-10,7731.79,Inventory,Azure Utilities,SmallBiz Inc
2026-01-05,6052.84,Rent,Global Office Ltd,Public Sector Dept
2026-02-20,9044.62,Professional Fees,Global Office Ltd,Public Sector Dept
2026-01-24,9456.12,Tax Provision,Azure Utilities,Direct Consumer
2026-02-06,8884.35,Sales Revenue,Global Office Ltd,Retail Giant A
2026-01-12,9295.94,Professional Fees,TechLogistics Corp,Public Sector Dept
2026-03-28,9461.63,Inventory,TechLogistics Corp,SmallBiz Inc
2026-02-18,6148.96,Professional Fees,Azure Utilities,Public Sector Dept
2026-03-28,5675.68,Sales Revenue,Azure Utilities,Retail Giant A
2026-02-16,7780.69,Professional Fees,Global Office Ltd,Direct Consumer
2026-01-31,11313.58,Sales Revenue,Prime Consulting,SmallBiz Inc
2026-02-20,5455.01,Sales Revenue,Global Office Ltd,Direct Consumer
2026-03-07,8852.69,Inventory,TechLogistics Corp,Public Sector Dept
2026-03-14,7489.12,Rent,Prime Consulting,Retail Giant A
2026-01-02,10895.43,Tax Provision,Prime Consulting,Public Sector Dept
2026-03-13,7139.08,Tax Provision,Global Office Ltd,Retail Giant A
2026-03-05,9274.37,Rent,Global Office Ltd,SmallBiz Inc
2026-02-26,5390.98,Sales Revenue,Prime Consulting,Public Sector Dept
2026-03-15,8028.98,Professional Fees,Azure Utilities,Direct Consumer
2026-03-10,8648.26,Sales Revenue,Global Office Ltd,Direct Consumer
2026-01-23,7910.78,Inventory,Prime Consulting,Direct Consumer
2026-03-02,11812.88,Professional Fees,TechLogistics Corp,Retail Giant A
2026-01-26,7912.38,Sales Revenue,Azure Utilities,Direct Consumer
2026-03-11,6762.16,Rent,Prime Consulting,Direct Consumer
2026-03-04,5296.02,Sales Revenue,Global Office Ltd,Public Sector Dept
2026-01-10,9662.07,Rent,Prime Consulting,Public Sector Dept
2026-03-18,8417.26,Tax Provision,TechLogistics Corp,Retail Giant A
2026-03-09,9956.76,Inventory,Prime Consulting,Direct Consumer
2026-02-08,8212.94,Rent,TechLogistics Corp,Direct Consumer
2026-01-06,8027.47,Rent,Azure Utilities,Direct Consumer
2026-01-13,7970.55,Inventory,Global Office Ltd,SmallBiz Inc
2026-03-30,8106.68,Inventory,Azure Utilities,Direct Consumer
2026-03-08,9884.95,Professional Fees,TechLogistics Corp,Public Sector Dept
2026-01-08,6739.43,Rent,Prime Consulting,Public Sector Dept
2026-01-10,7686.42,Sales Revenue,TechLogistics Corp,Retail Giant A
2026-02-15,7147.99,Rent,Azure Utilities,Retail Giant A
2026-02-27,6559.11,Professional Fees,TechLogistics Corp,Retail Giant A
2026-01-12,8843.01,Tax Provision,TechLogistics Corp,SmallBiz Inc
2026-02-17,8201.16,Tax Provision,Global Office Ltd,Retail Giant A
2026-02-17,7288.03,Inventory,Prime Consulting,Retail Giant A
2026-03-10,7934.63,Rent,TechLogistics Corp,Retail Giant A
2026-03-23,9172.74,Tax Provision,Prime Consulting,Retail Giant A
2026-03-15,8133.78,Professional Fees,Azure Utilities,SmallBiz Inc
2026-02-20,10555.1,Rent,Azure Utilities,Retail Giant A
2026-01-20,9191.05,Professional Fees,Prime Consulting,Direct Consumer
2026-02-14,9817.57,Rent,Global Office Ltd,Retail Giant A
2026-01-20,5441.59,Sales Revenue,Prime Consulting,Retail Giant A
2026-03-14,4267.11,Inventory,Azure Utilities,SmallBiz Inc
2026-01-19,7299.52,Professional Fees,TechLogistics Corp,Direct Consumer
2026-02-08,10156.08,Rent,Global Office Ltd,Public Sector Dept
2026-01-06,6442.12,Tax Provision,Global Office Ltd,Retail Giant A
2026-02-23,9086.44,Inventory,Prime Consulting,Retail Giant A
2026-01-31,8084.05,Tax Provision,TechLogistics Corp,Public Sector Dept
2026-02-28,11438.99,Sales Revenue,Global Office Ltd,Retail Giant A
2026-03-17,8710.5,Rent,Global Office Ltd,Retail Giant A
2026-02-03,7014.25,Rent,TechLogistics Corp,SmallBiz Inc
2026-03-19,10186.54,Rent,TechLogistics Corp,SmallBiz Inc
2026-02-27,8592.06,Rent,Global Office Ltd,SmallBiz Inc
2026-02-10,8063.93,Sales Revenue,Prime Consulting,Public Sector Dept
2026-02-12,9472.51,Professional Fees,Azure Utilities,SmallBiz Inc
2026-01-11,9651.89,Sales Revenue,Global Office Ltd,Public Sector Dept
2026-02-04,11572.08,Rent,Global Office Ltd,SmallBiz Inc
2026-02-26,4913.63,Sales Revenue,Global Office Ltd,Retail Giant A
2026-03-02,5883.58,Inventory,TechLogistics Corp,Public Sector Dept
2026-01-29,10117.89,Tax Provision,Prime Consulting,Retail Giant A
2026-03-13,8148.49,Rent,Prime Consulting,Direct Consumer
2026-01-30,8630.31,Sales Revenue,TechLogistics Corp,Retail Giant A
2026-02-09,9925.54,Sales Revenue,Prime Consulting,Public Sector Dept
2026-03-27,10489.67,Professional Fees,Azure Utilities,Retail Giant A
2026-03-23,6551.51,Professional Fees,Prime Consulting,Public Sector Dept
2026-02-14,10797.05,Rent,Prime Consulting,Retail Giant A
2026-01-15,6871.57,Professional Fees,Azure Utilities,SmallBiz Inc
2026-02-17,8041.87,Professional Fees,Global Office Ltd,Retail Giant A
2026-01-07,7201.18,Inventory,Azure Utilities,Retail Giant A
2026-02-17,8945.77,Rent,TechLogistics Corp,Public Sector Dept
2026-01-17,8583.84,Sales Revenue,Azure Utilities,SmallBiz Inc
2026-01-15,2632.52,Rent,Azure Utilities,SmallBiz Inc
2026-01-04,7382.44,Sales Revenue,TechLogistics Corp,Public Sector Dept
2026-02-25,9725.27,Rent,Global Office Ltd,SmallBiz Inc
2026-02-02,5458.7,Sales Revenue,Prime Consulting,Retail Giant A
2026-03-14,8976.96,Inventory,Azure Utilities,SmallBiz Inc
2026-02-04,4056.99,Rent,TechLogistics Corp,Public Sector Dept
2026-01-11,6663.51,Inventory,Prime Consulting,Direct Consumer
2026-01-24,7658.68,Rent,Global Office Ltd,Public Sector Dept
2026-01-24,7623.2,Sales Revenue,Prime Consulting,Retail Giant A
2026-03-06,8877.88,Tax Provision,TechLogistics Corp,Public Sector Dept
2026-03-28,9443.3,Rent,Global Office Ltd,Public Sector Dept
2026-01-05,2964.37,Inventory,Global Office Ltd,Public Sector Dept
2026-02-21,8745.29,Inventory,TechLogistics Corp,Public Sector Dept
2026-02-07,9642.91,Professional Fees,Prime Consulting,Direct Consumer
2026-03-28,4400.16,Sales Revenue,Azure Utilities,Public Sector Dept
2026-03-04,12791.99,Rent,Azure Utilities,Public Sector Dept
2026-01-08,2773.15,Tax Provision,Global Office Ltd,Public Sector Dept
2026-03-21,6071.8,Sales Revenue,Prime Consulting,SmallBiz Inc
2026-01-02,6518.64,Inventory,Prime Consulting,Retail Giant A
2026-02-11,8988.7,Tax Provision,Prime Consulting,Direct Consumer
2026-01-31,7723.05,Professional Fees,TechLogistics Corp,Public Sector Dept
2026-03-05,11662.78,Inventory,Prime Consulting,Direct Consumer
2026-02-11,4525.48,Inventory,Global Office Ltd,Public Sector Dept
2026-03-25,5986.57,Inventory,Global Office Ltd,Public Sector Dept
2026-03-18,7790.8,Tax Provision,Prime Consulting,Retail Giant A
2026-01-26,8874.38,Sales Revenue,Azure Utilities,Direct Consumer
2026-03-14,9760.82,Rent,Prime Consulting,Public Sector Dept
2026-02-08,9468.5,Tax Provision,Prime Consulting,Public Sector Dept
2026-02-14,12186.54,Inventory,TechLogistics Corp,Public Sector Dept
2026-03-13,7757.4,Tax Provision,TechLogistics Corp,Direct Consumer
2026-02-22,5103.17,Tax Provision,Global Office Ltd,Retail Giant A
2026-02-01,8320.84,Sales Revenue,Azure Utilities,SmallBiz Inc
2026-03-01,9623.47,Professional Fees,Global Office Ltd,Public Sector Dept
2026-01-02,8934.61,Rent,Azure Utilities,Direct Consumer
2026-01-04,9487.11,Sales Revenue,TechLogistics Corp,Public Sector Dept
2026-01-30,9445.73,Professional Fees,Azure Utilities,SmallBiz Inc
2026-02-02,9075.12,Sales Revenue,Prime Consulting,Direct Consumer
2026-03-23,8470.45,Inventory,TechLogistics Corp,SmallBiz Inc
2026-03-07,7667.12,Rent,Global Office Ltd,SmallBiz Inc
2026-01-16,9646.56,Inventory,Azure Utilities,Retail Giant A
2026-01-03,8262.09,Rent,TechLogistics Corp,TechLogistics Corp
2026-02-13,11482.92,Rent,Global Office Ltd,SmallBiz Inc
2026-03-18,11727.86,Rent,Azure Utilities,SmallBiz Inc
2026-02-03,9169.05,Sales Revenue,Azure Utilities,Public Sector Dept
2026-03-15,8937.01,Tax Provision,Global Office Ltd,Public Sector Dept
2026-01-25,8270.25,Professional Fees,Global Office Ltd,SmallBiz Inc
2026-01-17,9266.14,Professional Fees,Prime Consulting,Public Sector Dept
2026-01-18,7057.16,Inventory,Azure Utilities,Retail Giant A
2026-03-21,5999.72,Professional Fees,Azure Utilities,Public Sector Dept
2026-01-23,9500.66,Professional Fees,Prime Consulting,Retail Giant A
2026-02-22,6247.69,Tax Provision,Azure Utilities,Retail Giant A
2026-01-26,9110.83,Tax Provision,Azure Utilities,Retail Giant A
2026-02-19,6404.08,Sales Revenue,Prime Consulting,SmallBiz Inc
2026-02-24,4723.13,Rent,Global Office Ltd,SmallBiz Inc
2026-01-12,11406.85,Tax Provision,TechLogistics Corp,SmallBiz Inc
2026-01-14,4795.73,Rent,TechLogistics Corp,Public Sector Dept
2026-01-20,9119.43,Sales Revenue,Global Office Ltd,SmallBiz Inc
2026-01-09,7748.12,Tax Provision,TechLogistics Corp,Direct Consumer
2026-01-15,4752.68,Professional Fees,Global Office Ltd,Direct Consumer
2026-01-04,8317.28,Inventory,Prime Consulting,SmallBiz Inc
2026-03-24,8692.67,Professional Fees,Prime Consulting,Retail Giant A
2026-02-21,5103.4,Rent,Prime Consulting,Public Sector Dept
2026-01-24,7576.54,Tax Provision,Global Office Ltd,Direct Consumer
2026-03-09,8137.03,Inventory,Global Office Ltd,Public Sector Dept
2026-02-24,9194.31,Sales Revenue,Global Office Ltd,Public Sector Dept
2026-02-28,8689.0,Inventory,Azure Utilities,SmallBiz Inc
2026-01-13,8359.16,Sales Revenue,TechLogistics Corp,Retail Giant A
2026-01-25,9380.8,Rent,Prime Consulting,Public Sector Dept
2026-01-15,999999.99,Sales Revenue,Azure Utilities,Direct Consumer
2026-01-31,6627.56,Sales Revenue,Prime Consulting,SmallBiz Inc
2026-01-06,7142.7,Professional Fees,Prime Consulting,Retail Giant A
2026-01-18,6694.02,Sales Revenue,TechLogistics Corp,Retail Giant A
2026-01-04,9749.68,Rent,Global Office Ltd,Direct Consumer
2026-01-18,5923.42,Tax Provision,Azure Utilities,Public Sector Dept
2026-03-20,-4770.53,Professional Fees,Global Office Ltd,Public Sector Dept
2026-02-07,6524.98,Sales Revenue,Global Office Ltd,Retail Giant A
2026-03-14,5924.94,Tax Provision,TechLogistics Corp,SmallBiz Inc
2026-03-09,5550.98,Inventory,Global Office Ltd,Retail Giant A
2026-01-28,8208.18,Sales Revenue,Azure Utilities,Direct Consumer
2026-02-07,8625.59,Tax Provision,TechLogistics Corp,Direct Consumer
2026-03-15,11042.76,Tax Provision,Global Office Ltd,Retail Giant A
2026-03-27,8468.67,Professional Fees,Prime Consulting,Retail Giant A
2026-01-03,6957.39,Tax Provision,Global Office Ltd,Public Sector Dept
2026-01-25,6891.5,Professional Fees,Prime Consulting,Public Sector Dept
2026-01-05,8302.79,Inventory,Global Office Ltd,Public Sector Dept
2026-01-12,11244.71,Tax Provision,TechLogistics Corp,Direct Consumer
2026-02-05,6921.57,Tax Provision,Azure Utilities,Direct Consumer
2026-03-17,2693.87,Tax Provision,TechLogistics Corp,Retail Giant A
2026-03-07,6307.76,Professional Fees,Global Office Ltd,Retail Giant A
2026-01-06,11110.51,Professional Fees,Azure Utilities,Retail Giant A
2026-01-01,-7787.12,Tax Provision,TechLogistics Corp,Retail Giant A
2026-01-22,8301.18,Sales Revenue,Prime Consulting,Direct Consumer
2026-01-20,8567.35,Inventory,Prime Consulting,Retail Giant A
2026-01-27,10516.67,Inventory,Prime Consulting,Retail Giant A
2026-02-05,10239.17,Tax Provision,Global Office Ltd,Public Sector Dept
2026-02-23,4568.31,Professional Fees,Global Office Ltd,SmallBiz Inc
2026-03-16,10840.05,Professional Fees,Prime Consulting,Direct Consumer
2026-03-24,9786.65,Inventory,Global Office Ltd,Direct Consumer
2026-01-27,5944.45,Sales Revenue,Prime Consulting,SmallBiz Inc
2026-03-06,7827.09,Rent,Global Office Ltd,Public Sector Dept
2026-03-09,3328.79,Sales Revenue,Prime Consulting,Public Sector Dept
2026-02-05,6775.14,Professional Fees,Prime Consulting,Direct Consumer
2026-01-22,10252.4,Professional Fees,Azure Utilities,Retail Giant A
2026-02-07,7805.45,Professional Fees,Azure Utilities,Public Sector Dept
2026-03-19,4976.62,Rent,Azure Utilities,Direct Consumer
2026-01-21,9577.0,Rent,Azure Utilities,SmallBiz Inc
2026-03-04,8035.02,Inventory,Azure Utilities,SmallBiz Inc
2026-01-21,7247.93,Rent,Azure Utilities,Azure Utilities
2026-01-15,10991.99,Professional Fees,Global Office Ltd,SmallBiz Inc
2026-02-07,7518.84,Tax Provision,TechLogistics Corp,Direct Consumer
2026-03-19,7964.78,Rent,Azure Utilities,Retail Giant A
2026-03-03,6869.36,Inventory,Global Office Ltd,Direct Consumer
2026-03-17,8000.16,Rent,Global Office Ltd,Public Sector Dept
2026-02-20,8121.43,Inventory,Global Office Ltd,SmallBiz Inc
2026-02-22,8115.17,Tax Provision,Azure Utilities,Retail Giant A
2026-02-09,7991.62,Inventory,Prime Consulting,Direct Consumer
2026-03-16,9616.96,Rent,Azure Utilities,SmallBiz Inc
2026-03-03,9968.65,Professional Fees,TechLogistics Corp,Public Sector Dept
2026-01-03,11349.01,Rent,Prime Consulting,Public Sector Dept
2026-03-06,6227.79,Sales Revenue,TechLogistics Corp,SmallBiz Inc
2026-01-13,7082.22,Tax Provision,TechLogistics Corp,Retail Giant A
2026-02-22,7455.39,Rent,TechLogistics Corp,Public Sector Dept
2026-02-25,6467.18,Inventory,Azure Utilities,Public Sector Dept
